Area,Population,Murder and non-negligent man-     slaughter,Crime Index Total,Modified Crime Index Total1,Violent Crime2,Property Crime3,Forcible rape,Robbery,Aggravated assault,,Burglary,Larceny-theft,Motor vehicle theft,Arson1
,,,,,,,,,,,,,,
ALABAMA,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Metropolitan Statistical Area,"3,102,822",,,,,,,,,,,,,
   Area actually reporting,89.6%,250,"149,103",,"15,419","133,684","1,076","4,707","9,386",,"29,110","94,554","10,020",
   Estimated totals,100.0%,270,"163,332", ,"16,813","146,519","1,168","5,052","10,323",,"31,850","103,847","10,822",
Cities outside metropolitan areas,"566,532",,,,,,,,,,,,,
   Area actually reporting,64.4%,24,"18,993", ,"2,406","16,587",143,369,"1,870",,"3,480","12,305",802,
   Estimated totals,100.0%,37,"29,312", ,"3,713","25,599",219,565,"2,892",,"5,372","18,995","1,232",
Rural,"777,686",,,,,,,,,,,,,
   Area actually reporting,59.5%,13,"5,569", ,639,"4,930",55,47,524,,"1,833","2,654",443,
   Estimated totals,100.0%,22,"9,364", ,"1,075","8,289",93,79,881,,"3,082","4,462",745,
State Total,"4,447,100",329,"202,159",,"21,620","180,539","1,482","5,702","14,107",,"40,331","127,399","12,809",
"   Rate per 100,000 inhabitants",,7.4,"4,545.9",,486.2,"4,059.7",33.3,128.2,317.2,,906.9,"2,864.8",288.0,
,, ,,,, , ,, ,, ,, ,
ALASKA,, , , , ,,, , ,, ,, ,
,, ,,,,, ,, ,,,,,
Metropolitan Statistical Area,"260,900",,,,,,,,,,,,,
   Area actually reporting,100.0%,10,"12,866",,"1,524","11,342",195,346,973,,"1,533","8,799","1,010",
Cities outside metropolitan areas,"170,892",,,,,,,,,,,,,
   Area actually reporting,72.5%,4,"6,495",,"1,028","5,467",116,90,818,,758,"4,098",611,
   Estimated totals,100.0%,6,"8,963",,"1,419","7,544",160,124,"1,129",,"1,046","5,655",843,
Rural,"195,140",,,,,,,,,,,,,
